InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004281,1121078062335.0,19.21,0.21,229.97835,22.3546,53819.43582000001,0.0
1004281,1121078062335.0,19.14,0.19,229.9787,22.35483,53859.317339999994,0.0
1004281,1121078062335.0,18.89,0.17,229.97858,22.354870000000002,53859.32375,0.0
1004281,1121078062335.0,19.05,0.18,229.97925,22.354689999999998,53859.33017000001,0.0
1004281,1121078062335.0,19.24,0.2,229.97852999999998,22.3548,53859.3366,0.0
1004281,1121078062335.0,19.33,0.27,229.9786,22.35445,53873.40167000001,0.0
1004281,1121078062335.0,19.52,0.3,229.97872,22.35468,53873.405889999995,0.0
1004281,1121078062335.0,19.25,0.26,229.97861,22.35482,53873.410110000004,0.0
1004281,1121078062335.0,19.48,0.29,229.97876000000002,22.354689999999998,53873.41429,0.0
1004281,1121078062335.0,18.96,0.17,229.97888999999998,22.3548,53879.29324,0.0
1004281,1121078062335.0,18.98,0.18,229.97876000000002,22.354689999999998,53879.30124,0.0
1004281,1121078062335.0,19.38,0.21,229.97865,22.35474,53879.30922999999,0.0
1004281,1121078062335.0,19.09,0.19,229.97875,22.35485,53879.317220000004,0.0
1004281,1121078062335.0,19.51,0.23,229.97852000000003,22.35471,53885.399229999995,0.0
1004281,1121078062335.0,19.41,0.22,229.97842000000003,22.35489,53885.40642000001,0.0
1004281,1121078062335.0,19.08,0.19,229.97848,22.354670000000002,53885.413629999995,0.0
1004281,1121078062335.0,19.27,0.21,229.97871,22.35452,53885.420829999995,0.0
1004281,1121078062335.0,19.15,0.18,229.97852999999998,22.354779999999998,53992.1232,0.0
1004281,1121078062335.0,18.97,0.17,229.97887000000003,22.35485,53992.12798,0.0
1004281,1121078062335.0,18.98,0.17,229.97866000000002,22.3549,53992.13277999999,0.0
1004281,1121078062335.0,18.95,0.17,229.97835,22.35493,53992.13756,0.0
1004281,1121078062335.0,18.9,0.16,229.97877999999997,22.35475,54201.37341,0.0
1004281,1121078062335.0,19.05,0.18,229.97855,22.35495,54201.3827,0.0
1004281,1121078062335.0,19.18,0.19,229.97867999999997,22.354670000000002,54201.39196,0.0
1004281,1121078062335.0,19.2,0.19,229.97887999999998,22.354779999999998,54201.40122000001,0.0
1004281,1121078062335.0,19.51,0.24,229.9787,22.35485,54290.1982,0.0
1004281,1121078062335.0,19.19,0.2,229.97867000000002,22.3548,54290.20516000001,0.0
1004281,1121078062335.0,19.97,0.3,229.97767000000002,22.354770000000002,54290.21209,0.0
1004281,1121078062335.0,18.86,0.17,229.97894,22.35489,54257.26057000001,0.0
1004281,1121078062335.0,19.41,0.22,229.97871,22.35441,54257.270229999995,0.0
1004281,1121078062335.0,19.36,0.22,229.97907999999998,22.35468,54257.27987000001,0.0
1004281,1121078062335.0,18.81,0.16,229.97836,22.355079999999997,54257.289529999995,0.0
1004281,1121078062335.0,19.01,0.18,229.97875,22.35466,54267.23596000001,0.0
1004281,1121078062335.0,19.23,0.21,229.97865,22.35492,54267.24404,0.0
1004281,1121078062335.0,19.05,0.19,229.97885,22.354779999999998,54267.25212000001,0.0
1004281,1121078062335.0,19.21,0.21,229.97887000000003,22.35485,54267.26037,0.0
1004281,1121078062335.0,19.03,0.17,229.97867000000002,22.35463,54171.42929,0.0
1004281,1121078062335.0,19.06,0.17,229.97842999999997,22.35466,54171.43468,0.0
1004281,1121078062335.0,18.84,0.16,229.97876000000002,22.354860000000002,54171.44006,0.0
1004281,1121078062335.0,19.36,0.2,229.97842000000003,22.35475,54171.44542999999,0.0
1004281,1121078062335.0,19.24,0.19,229.97881,22.3549,54185.41273,0.0
1004281,1121078062335.0,19.04,0.17,229.97869,22.35463,54185.42204,0.0
1004281,1121078062335.0,19.1,0.18,229.97875,22.35465,54185.43143,0.0
1004281,1121078062335.0,18.93,0.17,229.97877000000003,22.35484,54185.44078,0.0
1004281,1121078062335.0,19.46,0.25,229.97884,22.35497,54228.36796,0.0
1004281,1121078062335.0,19.03,0.2,229.97848,22.354689999999998,54228.37564,0.0
1004281,1121078062335.0,19.01,0.2,229.97898999999998,22.35474,54228.38332000001,0.0
1004281,1121078062335.0,19.08,0.2,229.97858,22.35513,54228.39582000001,0.0
1004281,1121078062335.0,19.13,0.19,229.97841,22.35524,54242.33365,0.0
1004281,1121078062335.0,18.98,0.18,229.97846,22.35473,54242.34122,0.0
1004281,1121078062335.0,19.03,0.18,229.97846,22.35475,54242.34876,0.0
1004281,1121078062335.0,19.28,0.2,229.97862999999998,22.35492,54242.35631,0.0
1004281,1121078062335.0,19.43,0.18,229.97856000000002,22.3551,54347.1196,0.0
1004281,1121078062335.0,19.23,0.17,229.97858,22.35484,54347.12752,0.0
1004281,1121078062335.0,19.46,0.19,229.97867000000002,22.35493,54347.13545,0.0
1004281,1121078062335.0,19.57,0.2,229.97867999999997,22.35517,54347.1434,0.0
1004281,1121078062335.0,20.31,0.33,229.9784,22.35504,54355.10532,0.0
1004281,1121078062335.0,19.1,0.18,229.97869,22.35474,54355.10906,0.0
1004281,1121078062335.0,19.41,0.21,229.97885,22.3546,54355.11281000001,0.0
1004281,1121078062335.0,19.21,0.19,229.97877999999997,22.35506,54355.11655,0.0
1004281,1121078062335.0,19.38,0.2,229.97852999999998,22.354570000000002,54559.32743,0.0
1004281,1121078062335.0,19.09,0.18,229.9787,22.35465,54559.33657000001,0.0
1004281,1121078062335.0,19.35,0.2,229.97847000000002,22.3548,54559.34572999999,0.0
1004281,1121078062335.0,19.01,0.17,229.97877999999997,22.35481,54559.35491,0.0
1004281,1121078062335.0,19.04,0.18,229.97857000000002,22.3549,54565.289,0.0
1004281,1121078062335.0,18.92,0.17,229.97869,22.35489,54565.29556000001,0.0
1004281,1121078062335.0,18.92,0.17,229.97856000000002,22.3549,54565.302110000004,0.0
1004281,1121078062335.0,18.83,0.16,229.97845,22.35474,54565.30869,0.0
1004281,1121078062335.0,19.1,0.17,229.97867000000002,22.354879999999998,54571.44431,0.0
1004281,1121078062335.0,19.32,0.19,229.97867000000002,22.35485,54571.450789999995,0.0
1004281,1121078062335.0,19.38,0.2,229.97862999999998,22.3549,54571.45725,0.0
1004281,1121078062335.0,19.07,0.17,229.97867999999997,22.35484,54571.46372000001,0.0
1004281,1121078062335.0,18.94,0.17,229.97867000000002,22.35493,54582.31682000001,0.0
1004281,1121078062335.0,19.08,0.18,229.97867000000002,22.354689999999998,54582.32436000001,0.0
1004281,1121078062335.0,19.58,0.23,229.97887000000003,22.354960000000002,54582.33191,0.0
1004281,1121078062335.0,18.97,0.17,229.97871,22.354329999999997,54582.339439999996,0.0
1004281,1121078062335.0,19.24,0.17,229.97865,22.35499,54504.44938,0.0
1004281,1121078062335.0,19.09,0.16,229.97881,22.35472,54504.45887,0.0
1004281,1121078062335.0,19.8,0.23,229.97881,22.35485,54504.4684,0.0
1004281,1121078062335.0,19.2,0.17,229.97901000000002,22.35485,54504.4779,0.0
1004281,1121078062335.0,19.39,0.2,229.97891,22.354770000000002,54514.4815,0.0
1004281,1121078062335.0,19.41,0.21,229.97891,22.354870000000002,54514.4881,0.0
1004281,1121078062335.0,19.08,0.17,229.97845,22.35475,54514.49471,0.0
1004281,1121078062335.0,19.63,0.23,229.97917,22.35454,54466.51607000001,0.0
1004281,1121078062335.0,19.19,0.18,229.97855,22.35504,54466.52258,0.0
1004281,1121078062335.0,20.59,0.38,229.97872999999998,22.35494,54466.53559,0.0
1004281,1121078062335.0,19.12,0.18,229.97861,22.35476,54625.320779999995,0.0
1004281,1121078062335.0,19.05,0.18,229.97845,22.35473,54625.32807999999,0.0
1004281,1121078062335.0,19.02,0.17,229.97875,22.35474,54625.33534,0.0
1004281,1121078062335.0,19.23,0.19,229.9787,22.354960000000002,54625.3426,0.0
1004281,1121078062335.0,19.32,0.21,229.97851,22.354770000000002,54641.32967000001,0.0
1004281,1121078062335.0,19.55,0.24,229.97846,22.354779999999998,54641.33621,0.0
1004281,1121078062335.0,19.05,0.19,229.97869,22.35485,54641.342789999995,0.0
1004281,1121078062335.0,19.07,0.19,229.97881,22.35471,54641.34932,0.0
1004281,1121078062335.0,19.28,0.19,229.97849,22.35484,54528.40784,0.0
1004281,1121078062335.0,19.31,0.19,229.97847000000002,22.35494,54528.41444,0.0
1004281,1121078062335.0,19.46,0.21,229.97874,22.35481,54528.42101000001,0.0
1004281,1121078062335.0,19.29,0.19,229.97877999999997,22.35475,54528.42759,0.0
1004281,1121078062335.0,19.09,0.18,229.97843999999998,22.35485,54536.43491,0.0
1004281,1121078062335.0,19.06,0.17,229.97872999999998,22.35489,54536.44087000001,0.0
1004281,1121078062335.0,19.17,0.18,229.97887999999998,22.35472,54536.44685,0.0
1004281,1121078062335.0,18.98,0.17,229.9787,22.35472,54536.45284,0.0
1004281,1121078062335.0,19.18,0.18,229.97862999999998,22.354860000000002,54588.39447000001,0.0
1004281,1121078062335.0,19.24,0.19,229.97877000000003,22.35491,54588.40012000001,0.0
1004281,1121078062335.0,19.08,0.17,229.97867999999997,22.3547,54588.40571,0.0
1004281,1121078062335.0,19.17,0.18,229.97872,22.35464,54588.41139,0.0
1004281,1121078062335.0,19.09,0.18,229.97891,22.35495,54593.3204,0.0
1004281,1121078062335.0,19.03,0.17,229.97859,22.35492,54593.3263,0.0
1004281,1121078062335.0,19.43,0.21,229.97845,22.35515,54593.33221,0.0
1004281,1121078062335.0,19.37,0.2,229.97852999999998,22.35506,54593.33809,0.0
1004281,1121078062335.0,18.73,0.15,229.97896,22.3549,54599.22489,0.0
1004281,1121078062335.0,19.35,0.21,229.9787,22.35502,54599.231439999996,0.0
1004281,1121078062335.0,19.08,0.18,229.97846,22.35489,54599.23789,0.0
1004281,1121078062335.0,18.9,0.17,229.97861,22.35492,54599.244360000004,0.0
1004281,1121078062335.0,19.15,0.18,229.97872,22.3549,54715.13485,0.0
1004281,1121078062335.0,19.22,0.19,229.97883,22.35472,54715.1414,0.0
1004281,1121078062335.0,19.67,0.24,229.97885,22.35499,54715.14792,0.0
1004281,1121078062335.0,18.77,0.16,229.97862999999998,22.35465,54715.154420000006,0.0
1004281,1121078062335.0,19.02,0.17,229.97881,22.354870000000002,54944.3909,0.0
1004281,1121078062335.0,19.28,0.2,229.97874,22.35493,54944.39815,0.0
1004281,1121078062335.0,19.12,0.18,229.97872999999998,22.35473,54944.405360000004,0.0
1004281,1121078062335.0,19.17,0.18,229.97865,22.35493,54944.41239,0.0
1004281,1121078062335.0,19.14,0.18,229.97849,22.35474,54888.45737999999,0.0
1004281,1121078062335.0,19.09,0.17,229.97863999999998,22.35481,54888.4651,0.0
1004281,1121078062335.0,19.19,0.18,229.9784,22.35489,54888.47295,0.0
1004281,1121078062335.0,19.22,0.18,229.9787,22.3548,54888.48081,0.0
1004281,1121078062335.0,19.26,0.19,229.97883,22.35509,54998.24282000001,0.0
1004281,1121078062335.0,19.31,0.2,229.97845,22.35524,54998.25057999999,0.0
1004281,1121078062335.0,19.34,0.2,229.97848,22.3549,54998.25786000001,0.0
1004281,1121078062335.0,19.37,0.2,229.97887000000003,22.35474,54998.264989999996,0.0
1004281,1121078062335.0,19.36,0.2,229.97852999999998,22.35475,54912.337120000004,0.0
1004281,1121078062335.0,19.02,0.17,229.97885,22.35492,54912.341870000004,0.0
1004281,1121078062335.0,19.35,0.2,229.97866000000002,22.35492,54912.34675,0.0
1004281,1121078062335.0,19.05,0.17,229.97886,22.354779999999998,54912.35163,0.0
1004281,1121078062335.0,19.32,0.2,229.97862,22.35504,54919.37646,0.0
1004281,1121078062335.0,19.09,0.17,229.9783,22.35492,54919.383089999996,0.0
1004281,1121078062335.0,19.12,0.18,229.97871,22.3549,54919.38972000001,0.0
1004281,1121078062335.0,18.89,0.16,229.97842000000003,22.35495,54919.39898,0.0
1004281,1121078062335.0,19.63,0.23,229.97862999999998,22.3551,54965.3245,0.0
1004281,1121078062335.0,18.92,0.17,229.97855,22.35473,54965.33056,0.0
1004281,1121078062335.0,19.27,0.19,229.97856000000002,22.354770000000002,54965.336670000004,0.0
1004281,1121078062335.0,19.29,0.2,229.9789,22.35506,54965.34272000001,0.0
1004281,1121078062335.0,19.22,0.19,229.97852999999998,22.3551,54980.33125,0.0
1004281,1121078062335.0,19.34,0.2,229.97861,22.35505,54980.33861,0.0
1004281,1121078062335.0,19.17,0.19,229.97879,22.35473,54980.34611000001,0.0
1004281,1121078062335.0,19.08,0.18,229.97848,22.35471,54980.35352999999,0.0
1004281,1121078062335.0,19.08,0.19,229.97834,22.35497,55096.120670000004,0.0
1004281,1121078062335.0,19.22,0.2,229.97892000000002,22.354979999999998,55096.125479999995,0.0
1004281,1121078062335.0,19.1,0.19,229.97862,22.35473,55096.13039,0.0
1004281,1121078062335.0,19.3,0.21,229.97814,22.35484,55096.13521,0.0
1004281,1121078062335.0,19.0,0.17,229.97877999999997,22.3549,55293.41198,0.0
1004281,1121078062335.0,19.21,0.19,229.97856000000002,22.35476,55293.418439999994,0.0
1004281,1121078062335.0,19.24,0.19,229.9787,22.35462,55293.42492000001,0.0
1004281,1121078062335.0,19.47,0.21,229.97865,22.35462,55293.43139,0.0
1004281,1121078062335.0,18.73,0.16,229.97877000000003,22.35504,55303.34288,0.0
1004281,1121078062335.0,19.27,0.2,229.9786,22.354779999999998,55303.34974,0.0
1004281,1121078062335.0,19.13,0.19,229.97845,22.354770000000002,55303.35662000001,0.0
1004281,1121078062335.0,19.33,0.21,229.97857000000002,22.35493,55303.36351,0.0
1004281,1121078062335.0,18.93,0.17,229.97863999999998,22.35442,55381.175129999996,0.0
1004281,1121078062335.0,19.35,0.2,229.97859,22.3547,55381.18306,0.0
1004281,1121078062335.0,19.05,0.18,229.97841,22.35463,55381.190989999996,0.0
1004281,1121078062335.0,19.09,0.18,229.97858,22.35483,55381.19896,0.0
1004281,1121078062335.0,19.1,0.18,229.97852999999998,22.35463,55350.2963,0.0
1004281,1121078062335.0,18.91,0.16,229.97893,22.35466,55350.30311,0.0
1004281,1121078062335.0,19.03,0.18,229.97827,22.354770000000002,55350.31006,0.0
1004281,1121078062335.0,19.16,0.19,229.97863999999998,22.35476,55350.31686,0.0
1004281,1121078062335.0,19.29,0.2,229.97863999999998,22.35484,55358.27731000001,0.0
1004281,1121078062335.0,19.2,0.19,229.97857000000002,22.35472,55358.28355,0.0
1004281,1121078062335.0,18.91,0.17,229.9786,22.354779999999998,55358.289829999994,0.0
1004281,1121078062335.0,19.32,0.2,229.97863999999998,22.354870000000002,55358.29618,0.0
1004281,1121078062335.0,19.3,0.2,229.97863999999998,22.35475,55365.257489999996,0.0
1004281,1121078062335.0,19.15,0.18,229.97843999999998,22.354779999999998,55365.26264,0.0
1004281,1121078062335.0,19.11,0.18,229.97853999999998,22.355,55365.26781000001,0.0
1004281,1121078062335.0,19.36,0.2,229.97827999999998,22.354770000000002,55365.273,0.0
1004281,1121078062335.0,18.78,0.18,229.97903,22.35462,55281.44862,0.0
1004281,1121078062335.0,18.99,0.2,229.97884,22.35474,55281.45472,0.0
1004281,1121078062335.0,19.33,0.23,229.97887999999998,22.35499,55281.46086,0.0
1004281,1121078062335.0,19.3,0.23,229.97848,22.354570000000002,55281.46695,0.0
1004281,1121078062335.0,19.04,0.17,229.97877000000003,22.35511,55325.34798,0.0
1004281,1121078062335.0,19.06,0.18,229.97857000000002,22.3546,55325.35552999999,0.0
1004281,1121078062335.0,19.15,0.18,229.9786,22.35485,55325.36307000001,0.0
1004281,1121078062335.0,19.18,0.19,229.97863999999998,22.35466,55325.370579999995,0.0
1004281,1121078062335.0,18.96,0.17,229.9786,22.35502,55332.27535,0.0
1004281,1121078062335.0,18.8,0.16,229.97861,22.35485,55332.28224,0.0
1004281,1121078062335.0,19.55,0.22,229.97867999999997,22.354979999999998,55332.28914,0.0
1004281,1121078062335.0,19.12,0.18,229.97857000000002,22.354670000000002,55332.29607999999,0.0
1004281,1121078062335.0,18.92,0.16,229.97848,22.35473,55340.20947,0.0
1004281,1121078062335.0,19.82,0.25,229.97829,22.35504,55340.21575,0.0
1004281,1121078062335.0,19.13,0.18,229.97874,22.35485,55340.22202000001,0.0
1004281,1121078062335.0,19.65,0.23,229.97817,22.35483,55340.22779,0.0
1004281,1121078062335.0,19.83,0.31,229.97857000000002,22.35504,55457.11155,0.0
1004281,1121078062335.0,19.0,0.2,229.97861,22.3547,55457.11727,0.0
1004281,1121078062335.0,19.08,0.21,229.97797000000003,22.35481,55457.12015,0.0
1004281,1121078062335.0,19.55,0.24,229.97853999999998,22.354779999999998,55657.42516,0.0
1004281,1121078062335.0,19.15,0.19,229.97869,22.35483,55657.43027999999,0.0
1004281,1121078062335.0,19.35,0.21,229.97866000000002,22.35499,55657.435489999996,0.0
1004281,1121078062335.0,19.18,0.19,229.97859,22.35485,55657.44062,0.0
1004281,1121078062335.0,19.15,0.19,229.9786,22.35507,55674.46377,0.0
1004281,1121078062335.0,18.95,0.18,229.97843999999998,22.35447000000001,55674.47066,0.0
1004281,1121078062335.0,19.34,0.21,229.97834,22.35484,55674.47756,0.0
1004281,1121078062335.0,19.08,0.19,229.97792,22.35505,55674.48444,0.0
1004281,1121078062335.0,18.62,0.15,229.97852999999998,22.35507,55597.51727999999,0.0
1004281,1121078062335.0,19.08,0.18,229.97857000000002,22.35499,55597.52656000001,0.0
1004281,1121078062335.0,19.34,0.2,229.97832999999997,22.35474,55597.535879999996,0.0
1004281,1121078062335.0,18.85,0.16,229.97842999999997,22.355079999999997,55597.54504,0.0
1004281,1121078062335.0,19.14,0.19,229.97884,22.35481,55721.29848,0.0
1004281,1121078062335.0,19.13,0.19,229.9786,22.354589999999998,55721.30719,0.0
1004281,1121078062335.0,19.57,0.23,229.97842999999997,22.354860000000002,55721.31592000001,0.0
1004281,1121078062335.0,19.07,0.18,229.97861,22.35483,55721.32468,0.0
1004281,1121078062335.0,19.34,0.2,229.97886,22.35481,55631.48971,0.0
1004281,1121078062335.0,18.93,0.17,229.97839,22.35463,55631.49487,0.0
1004281,1121078062335.0,19.1,0.18,229.97852000000003,22.354960000000002,55631.50007,0.0
1004281,1121078062335.0,19.16,0.19,229.97845,22.3549,55631.50528,0.0
1004281,1121078062335.0,19.08,0.19,229.97932999999998,22.354670000000002,55650.473829999995,0.0
1004281,1121078062335.0,19.37,0.21,229.9783,22.35463,55650.4824,0.0
1004281,1121078062335.0,19.06,0.18,229.9785,22.35494,55650.49105,0.0
1004281,1121078062335.0,18.87,0.17,229.97852999999998,22.3546,55650.49972000001,0.0
1004281,1121078062335.0,19.39,0.22,229.97871,22.35503,55687.377539999994,0.0
1004281,1121078062335.0,19.22,0.2,229.97866000000002,22.35494,55687.38334,0.0
1004281,1121078062335.0,19.07,0.19,229.97846,22.3548,55687.38916,0.0
1004281,1121078062335.0,19.39,0.22,229.97857000000002,22.35473,55687.39498,0.0
1004281,1121078062335.0,19.71,0.25,229.97779,22.354879999999998,55701.35112000001,0.0
1004281,1121078062335.0,19.74,0.26,229.97811000000002,22.35509,55701.3591,0.0
1004281,1121078062335.0,19.24,0.2,229.97859,22.355079999999997,55701.366989999995,0.0
1004281,1121078062335.0,19.5,0.23,229.97871,22.35491,55701.37487000001,0.0
1004281,1121078062335.0,19.56,0.28,229.9787,22.354870000000002,55824.10691,0.0
1004281,1121078062335.0,20.21,0.4,229.97872,22.35493,55824.112389999995,0.0
1004281,1121078062335.0,19.29,0.25,229.97817,22.35393,55824.117889999994,0.0
1004281,1121078062335.0,19.4,0.26,229.97867999999997,22.354779999999998,55824.12334,0.0
1004281,1121078062335.0,19.15,0.19,229.97893,22.354770000000002,55927.51891,0.0
1004281,1121078062335.0,18.91,0.17,229.97849,22.354589999999998,55927.52585,0.0
1004281,1121078062335.0,18.87,0.16,229.97882,22.35481,55927.532739999995,0.0
1004281,1121078062335.0,19.1,0.18,229.97862,22.354570000000002,55927.539639999995,0.0
1004281,1121078062335.0,19.34,0.2,229.97879,22.35476,55944.53826,0.0
1004281,1121078062335.0,19.41,0.21,229.97879,22.35453,55944.542779999996,0.0
1004281,1121078062335.0,18.8,0.16,229.9788,22.35494,55944.54726,0.0
1004281,1121078062335.0,19.15,0.18,229.97858,22.3546,55944.5518,0.0
1004281,1121078062335.0,19.21,0.19,229.97853999999998,22.354779999999998,55980.51092000001,0.0
1004281,1121078062335.0,19.21,0.19,229.97847000000002,22.35464,55980.51885,0.0
1004281,1121078062335.0,18.82,0.16,229.97852999999998,22.35497,55980.52675,0.0
1004281,1121078062335.0,19.31,0.2,229.97862999999998,22.35465,55980.53479,0.0
1004281,1121078062335.0,19.38,0.21,229.97895,22.354870000000002,55988.42397,0.0
1004281,1121078062335.0,19.14,0.18,229.97847000000002,22.354589999999998,55988.43032000001,0.0
1004281,1121078062335.0,19.18,0.19,229.97893,22.35492,55988.43677000001,0.0
1004281,1121078062335.0,18.69,0.15,229.97872999999998,22.35483,56000.498479999995,0.0
1004281,1121078062335.0,19.24,0.19,229.97863999999998,22.35491,56000.50354,0.0
1004281,1121078062335.0,18.7,0.15,229.97874,22.354429999999997,56000.50859,0.0
1004281,1121078062335.0,19.17,0.18,229.9788,22.35461,56000.513629999994,0.0
1004281,1121078062335.0,18.98,0.15,229.97849,22.35444,56014.431639999995,0.0
1004281,1121078062335.0,19.37,0.18,229.97842000000003,22.35472,56014.439229999996,0.0
1004281,1121078062335.0,18.98,0.15,229.97842999999997,22.354860000000002,56014.44678,0.0
1004281,1121078062335.0,19.12,0.16,229.97853999999998,22.354870000000002,56014.45428,0.0
1004281,1121078062335.0,19.26,0.2,229.97858,22.35483,56036.3656,0.0
1004281,1121078062335.0,19.1,0.18,229.97859,22.354870000000002,56036.37255,0.0
1004281,1121078062335.0,18.89,0.17,229.97877000000003,22.35503,56036.379539999994,0.0
1004281,1121078062335.0,18.82,0.16,229.97874,22.354770000000002,56036.38665,0.0
1004281,1121078062335.0,19.04,0.18,229.97832999999997,22.35462,56042.26259,0.0
1004281,1121078062335.0,18.95,0.17,229.97849,22.35494,56042.26765,0.0
1004281,1121078062335.0,19.01,0.18,229.97858,22.35455,56042.2728,0.0
1004281,1121078062335.0,19.09,0.18,229.97848,22.35463,56042.27792000001,0.0
1004281,1121078062335.0,19.05,0.18,229.97887999999998,22.35502,56048.41918,0.0
1004281,1121078062335.0,19.44,0.22,229.97877999999997,22.35473,56048.42774,0.0
1004281,1121078062335.0,19.26,0.2,229.97848,22.354770000000002,56048.4363,0.0
1004281,1121078062335.0,19.07,0.18,229.97859,22.35474,56048.44482999999,0.0
1004281,1121078062335.0,19.28,0.19,229.97871,22.35471,56062.37616,0.0
1004281,1121078062335.0,18.91,0.16,229.9785,22.35447000000001,56062.38465,0.0
1004281,1121078062335.0,18.95,0.16,229.97867000000002,22.354570000000002,56062.39328,0.0
1004281,1121078062335.0,19.04,0.17,229.97859,22.35485,56062.401789999996,0.0
1004281,1121078062335.0,18.93,0.14,229.97866000000002,22.35445,56070.316979999996,0.0
1004281,1121078062335.0,19.15,0.16,229.97867000000002,22.35472,56070.323789999995,0.0
1004281,1121078062335.0,19.29,0.17,229.97869,22.354789999999998,56070.33066,0.0
1004281,1121078062335.0,19.26,0.16,229.97865,22.35461,56070.33752000001,0.0
1004281,1121078062335.0,19.37,0.2,229.97862,22.35468,56088.31515,0.0
1004281,1121078062335.0,19.04,0.17,229.97852000000003,22.354979999999998,56088.32083,0.0
