InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004641,1107089073585.0,19.82,0.25,250.01393,7.55258,53466.40827,0.0
1004641,1107089073585.0,20.7,0.45,250.01396,7.5526300000000015,53537.34411000001,0.0
1004641,1107089073585.0,20.93,0.49,250.01393,7.553,53550.28473,0.0
1004641,1107089073585.0,20.23,0.35,250.01424,7.5529100000000025,53520.40534,0.0
1004641,1107089073585.0,20.47,0.43,250.01389,7.55318,53648.126469999996,0.0
1004641,1107089073585.0,20.04,0.3,250.01389,7.5526800000000005,53831.43521,0.0
1004641,1107089073585.0,19.82,0.29,250.01384,7.55345,53907.302339999995,0.0
1004641,1107089073585.0,19.64,0.26,250.01368,7.5526800000000005,53907.31039,0.0
1004641,1107089073585.0,19.88,0.28,250.01403,7.5529699999999975,53818.5043,0.0
1004641,1107089073585.0,20.22,0.33,250.01417999999998,7.5529800000000025,53818.52097000001,0.0
1004641,1107089073585.0,20.19,0.34,250.01414,7.5533800000000015,53857.42952000001,0.0
1004641,1107089073585.0,20.18,0.34,250.01413,7.5529899999999985,53857.4358,0.0
1004641,1107089073585.0,19.55,0.24,250.01427999999999,7.55295,53857.44217,0.0
1004641,1107089073585.0,19.77,0.25,250.01394,7.5528,54004.101039999994,0.0
1004641,1107089073585.0,20.56,0.39,250.01381,7.55275,54004.112839999994,0.0
1004641,1107089073585.0,20.12,0.31,250.0136,7.55283,54201.44752,0.0
1004641,1107089073585.0,20.12,0.33,250.01342000000002,7.5535,54263.33534,0.0
1004641,1107089073585.0,20.93,0.49,250.0139,7.5529800000000025,54269.28027,0.0
1004641,1107089073585.0,19.79,0.26,250.0138,7.55306,54269.28883,0.0
1004641,1107089073585.0,20.93,0.48,250.01429,7.55337,54185.50472999999,0.0
1004641,1107089073585.0,20.97,0.52,250.01393,7.552810000000001,54242.3875,0.0
1004641,1107089073585.0,19.76,0.26,250.01418999999999,7.55288,54242.39502,0.0
1004641,1107089073585.0,20.18,0.32,250.01381,7.55289,54356.13624,0.0
1004641,1107089073585.0,20.15,0.31,250.01396,7.5529899999999985,54356.14159,0.0
1004641,1107089073585.0,20.23,0.33,250.01382,7.55284,54562.47251,0.0
1004641,1107089073585.0,20.1,0.3,250.01417,7.5533,54569.41798,0.0
1004641,1107089073585.0,20.2,0.32,250.01418999999999,7.55306,54506.50664,0.0
1004641,1107089073585.0,20.46,0.36,250.01387999999997,7.55312,54506.515179999995,0.0
1004641,1107089073585.0,20.91,0.47,250.01582000000002,7.55405,54506.515179999995,1.0
1004641,1107089073585.0,20.05,0.29,250.01377000000002,7.55284,54506.5234,0.0
1004641,1107089073585.0,20.3,0.33,250.01407999999998,7.5529899999999985,54506.53179,0.0
1004641,1107089073585.0,20.1,0.25,250.01356,7.55278,54623.27484,0.0
1004641,1107089073585.0,20.29,0.33,250.01376000000002,7.55307,54588.42152999999,0.0
1004641,1107089073585.0,19.7,0.24,250.0141,7.55311,54588.427039999995,0.0
1004641,1107089073585.0,19.69,0.24,250.01416,7.5529199999999985,54588.432570000004,0.0
1004641,1107089073585.0,19.6,0.24,250.01391,7.5530800000000005,54599.31544,0.0
1004641,1107089073585.0,20.67,0.43,250.01367000000002,7.5533600000000005,54937.425520000004,0.0
1004641,1107089073585.0,20.67,0.42,250.01417,7.55289,55059.18222,0.0
1004641,1107089073585.0,20.0,0.29,250.01389,7.55293,55039.22464,0.0
1004641,1107089073585.0,19.57,0.24,250.01416,7.55306,55039.23251,0.0
1004641,1107089073585.0,20.1,0.3,250.01367000000002,7.5530300000000015,54983.36124,0.0
1004641,1107089073585.0,20.08,0.3,250.0138,7.5530800000000005,54983.3679,0.0
1004641,1107089073585.0,20.45,0.36,250.01417,7.5529199999999985,54983.381279999994,0.0
1004641,1107089073585.0,20.44,0.47,250.01385,7.55284,54918.49031,0.0
